year	step	length	number
1994	4	100	11
1994	4	104	6
1994	4	108	9
1994	4	112	5
1994	4	116	4
1994	4	120	2
1994	4	48	3
1994	4	52	7
1994	4	56	12
1994	4	60	15
1994	4	64	34
1994	4	68	37
1994	4	72	57
1994	4	76	60
1994	4	80	49
1994	4	84	43
1994	4	88	33
1994	4	92	19
1994	4	96	16
1995	1	100	10
1995	1	104	8
1995	1	108	6
1995	1	112	1
1995	1	116	4
1995	1	120	2
1995	1	124	1
1995	1	128	1
1995	1	140	1
1995	1	144	1
1995	1	64	2
1995	1	68	13
1995	1	72	25
1995	1	76	32
1995	1	80	45
1995	1	84	42
1995	1	88	45
1995	1	92	37
1995	1	96	24
1995	3	100	16
1995	3	104	5
1995	3	108	11
1995	3	112	9
1995	3	116	5
1995	3	120	9
1995	3	124	5
1995	3	132	2
1995	3	136	2
1995	3	140	1
1995	3	144	1
1995	3	148	5
1995	3	156	1
1995	3	56	4
1995	3	60	1
1995	3	64	2
1995	3	68	17
1995	3	72	12
1995	3	76	38
1995	3	80	33
1995	3	84	15
1995	3	88	25
1995	3	92	24
1995	3	96	14
1995	4	100	35
1995	4	104	28
1995	4	108	22
1995	4	112	12
1995	4	116	1
1995	4	120	8
1995	4	124	4
1995	4	132	1
1995	4	136	1
1995	4	140	1
1995	4	156	1
1995	4	60	3
1995	4	64	8
1995	4	68	26
1995	4	72	57
1995	4	76	66
1995	4	80	85
1995	4	84	83
1995	4	88	63
1995	4	92	52
1995	4	96	34
1996	1	100	19
1996	1	104	15
1996	1	108	17
1996	1	112	6
1996	1	116	11
1996	1	120	5
1996	1	124	3
1996	1	128	3
1996	1	132	3
1996	1	140	1
1996	1	144	2
1996	1	40	1
1996	1	44	1
1996	1	48	14
1996	1	52	32
1996	1	56	43
1996	1	60	51
1996	1	64	61
1996	1	68	77
1996	1	72	101
1996	1	76	112
1996	1	80	95
1996	1	84	80
1996	1	88	46
1996	1	92	35
1996	1	96	19
1996	3	100	43
1996	3	104	43
1996	3	108	26
1996	3	112	31
1996	3	116	22
1996	3	120	20
1996	3	124	14
1996	3	128	8
1996	3	132	6
1996	3	136	7
1996	3	140	3
1996	3	144	2
1996	3	148	2
1996	3	152	2
1996	3	156	4
1996	3	60	6
1996	3	64	5
1996	3	68	9
1996	3	72	15
1996	3	76	29
1996	3	80	34
1996	3	84	38
1996	3	88	43
1996	3	92	41
1996	3	96	47
1996	4	100	30
1996	4	104	24
1996	4	108	15
1996	4	112	16
1996	4	116	14
1996	4	120	10
1996	4	124	4
1996	4	128	3
1996	4	132	2
1996	4	136	6
1996	4	140	2
1996	4	144	2
1996	4	148	4
1996	4	152	4
1996	4	156	1
1996	4	40	1
1996	4	44	3
1996	4	48	2
1996	4	52	3
1996	4	56	10
1996	4	60	16
1996	4	64	29
1996	4	68	40
1996	4	72	80
1996	4	76	123
1996	4	80	120
1996	4	84	124
1996	4	88	95
1996	4	92	44
1996	4	96	40
1997	1	100	16
1997	1	104	21
1997	1	108	11
1997	1	112	9
1997	1	116	2
1997	1	120	3
1997	1	124	3
1997	1	136	1
1997	1	148	1
1997	1	44	1
1997	1	48	14
1997	1	52	56
1997	1	56	113
1997	1	60	93
1997	1	64	58
1997	1	68	53
1997	1	72	55
1997	1	76	66
1997	1	80	87
1997	1	84	83
1997	1	88	66
1997	1	92	55
1997	1	96	33
1997	2	100	15
1997	2	104	16
1997	2	108	4
1997	2	112	4
1997	2	116	4
1997	2	120	7
1997	2	148	1
1997	2	156	1
1997	2	60	2
1997	2	64	1
1997	2	68	14
1997	2	72	19
1997	2	76	30
1997	2	80	47
1997	2	84	48
1997	2	88	39
1997	2	92	34
1997	2	96	14
1997	3	100	44
1997	3	104	25
1997	3	108	26
1997	3	112	20
1997	3	116	15
1997	3	120	7
1997	3	124	10
1997	3	128	1
1997	3	132	1
1997	3	136	2
1997	3	144	1
1997	3	48	6
1997	3	52	5
1997	3	56	18
1997	3	60	20
1997	3	64	34
1997	3	68	31
1997	3	72	42
1997	3	76	40
1997	3	80	70
1997	3	84	81
1997	3	88	86
1997	3	92	69
1997	3	96	51
1997	4	100	28
1997	4	104	26
1997	4	108	13
1997	4	112	10
1997	4	116	3
1997	4	120	4
1997	4	124	2
1997	4	128	1
1997	4	136	1
1997	4	156	1
1997	4	28	1
1997	4	56	2
1997	4	60	6
1997	4	64	23
1997	4	68	27
1997	4	72	32
1997	4	76	51
1997	4	80	37
1997	4	84	61
1997	4	88	64
1997	4	92	40
1997	4	96	34
1998	1	100	21
1998	1	104	9
1998	1	108	6
1998	1	112	2
1998	1	116	3
1998	1	120	2
1998	1	124	1
1998	1	52	3
1998	1	56	16
1998	1	60	37
1998	1	64	46
1998	1	68	63
1998	1	72	90
1998	1	76	85
1998	1	80	68
1998	1	84	53
1998	1	88	43
1998	1	92	23
1998	1	96	28
1998	2	100	61
1998	2	104	45
1998	2	108	27
1998	2	112	32
1998	2	116	15
1998	2	120	5
1998	2	124	2
1998	2	128	1
1998	2	136	2
1998	2	52	1
1998	2	60	6
1998	2	64	13
1998	2	68	33
1998	2	72	64
1998	2	76	54
1998	2	80	75
1998	2	84	80
1998	2	88	97
1998	2	92	80
1998	2	96	51
1998	3	100	25
1998	3	104	14
1998	3	108	10
