; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleetname	number
1982    1    1    igfs      78489.0
1982    2    1    igfs      18665.0
1982    3    1    igfs     102715.0
1982    4    1    igfs     194534.0
1983    1    1    igfs     297824.0
1983    2    1    igfs      38961.2
1983    3    1    igfs     115161.0
1983    4    1    igfs     188776.0
1984    1    1    igfs      98608.2
1984    2    1    igfs      38181.0
1984    3    1    igfs      47730.0
1984    4    1    igfs     271359.0
1985    1    1    igfs     135540.0
1985    2    1    igfs      22824.2
1985    3    1    igfs      59581.8
1985    4    1    igfs     192046.0
1986    1    1    igfs     103964.0
1986    2    1    igfs      18793.2
1986    3    1    igfs      33399.8
1986    4    1    igfs     123143.0
1987    1    1    igfs      88203.2
1987    2    1    igfs      14636.2
1987    3    1    igfs      41163.8
1987    4    1    igfs     337377.0
1988    1    1    igfs     210982.0
1988    2    1    igfs      12867.8
1988    3    1    igfs      84149.5
1988    4    1    igfs     353495.0
1989    1    1    igfs     146974.0
1989    2    1    igfs     102082.0
1989    3    1    igfs      97780.8
1989    4    1    igfs     493359.0
1990    1    1    igfs     337770.0
1990    2    1    igfs      82653.5
1990    3    1    igfs     176555.0
1990    4    1    igfs     820857.0
